,Season,Team1,Team2,Team1 Rank,Team2 Rank,Team1 Win%,Team2 Win%,Team1 Avg Pts,Team2 Avg Pts,Team1 Avg Pts A,Team2 Avg Pts A,Team1 Fg%,Team2 Fg%,Team1 Fg% A,Team2 Fg% A,Team1 3%,Team2 3%,Team1 3% A,Team2 3% A,Team1 FT,Team2 FT,Team1 FT A,Team2 FT A,Team1 OR,Team2 OR,Team1 OR A,Team2 OR A,Team1 DR,Team2 DR,Team1 DR A,Team2 DR A,Team1 TO,Team2 TO,Team1 TA,Team2 TA,Team1 Pts,Team2 Pts
1136,2003,1411,1421,236.2175,241.37,0.6,0.4482758620689655,72.8,71.20689655172414,70.83333333333333,78.44827586206897,0.44752714113389624,0.42926533090467517,0.4249448123620309,0.45588235294117646,0.3207207207207207,0.36015325670498083,0.3251798561151079,0.36710963455149503,522,463,359,442,13.166666666666666,12.275862068965518,11.933333333333334,13.724137931034482,24.8,23.17241379310345,22.866666666666667,22.82758620689655,15.233333333333333,16.20689655172414,14.333333333333334,12.827586206896552,84,92
1137,2003,1112,1436,3.6767441860465118,171.7975,0.8928571428571429,0.6551724137931034,85.21428571428571,67.79310344827586,70.25,63.13793103448276,0.46141304347826084,0.4444444444444444,0.4075096631695196,0.41327489041953663,0.3505338078291815,0.34075723830734966,0.31663685152057247,0.3295819935691318,491,373,314,306,15.178571428571429,12.96551724137931,13.107142857142858,9.586206896551724,27.642857142857142,25.724137931034484,23.285714285714285,21.862068965517242,14.785714285714286,14.068965517241379,16.857142857142858,13.0,80,51
1138,2003,1272,1113,42.0,40.8925,0.7931034482758621,0.6206896551724138,74.51724137931035,75.96551724137932,65.82758620689656,69.17241379310344,0.4379310344827586,0.4781818181818182,0.4022646007151371,0.4454770755885997,0.3487972508591065,0.3178082191780822,0.3220338983050847,0.34273318872017355,434,509,388,410,14.068965517241379,13.689655172413794,12.344827586206897,11.0,25.96551724137931,23.310344827586206,23.586206896551722,20.551724137931036,13.793103448275861,14.0,15.068965517241379,15.517241379310345,71,84
1139,2003,1166,1141,16.869767441860464,75.095,0.8787878787878788,0.7931034482758621,79.24242424242425,79.34482758620689,64.33333333333333,73.24137931034483,0.4994725738396624,0.5052356020942408,0.4315443592552026,0.45476190476190476,0.3890532544378698,0.38076923076923075,0.3411016949152542,0.3573200992555831,458,559,386,452,10.878787878787879,10.586206896551724,11.06060606060606,12.241379310344827,23.181818181818183,23.275862068965516,21.363636363636363,18.896551724137932,13.363636363636363,18.24137931034483,17.060606060606062,16.06896551724138,73,79
1140,2003,1301,1143,55.45161290322581,40.74818401937046,0.6,0.7241379310344828,72.4,74.48275862068965,68.0,69.75862068965517,0.45625,0.46564885496183206,0.4410288582183187,0.43167155425219944,0.3540740740740741,0.3765182186234818,0.33725490196078434,0.3311897106109325,473,388,462,345,9.733333333333333,11.241379310344827,10.533333333333333,11.172413793103448,22.033333333333335,24.379310344827587,21.433333333333334,23.0,14.2,14.172413793103448,14.633333333333333,14.931034482758621,74,76
1141,2003,1163,1140,31.087264150943398,27.54,0.7,0.7419354838709677,80.03333333333333,72.45161290322581,71.4,63.67741935483871,0.47481243301178994,0.46884833228445566,0.38041815400305967,0.4090623033354311,0.386411889596603,0.384,0.3195364238410596,0.3081510934393638,447,564,457,519,14.766666666666667,10.870967741935484,15.333333333333334,10.419354838709678,27.9,24.419354838709676,21.5,20.193548387096776,15.8,13.741935483870968,13.366666666666667,14.483870967741936,58,53
1142,2003,1161,1181,99.33,9.990697674418605,0.5666666666666667,0.8,74.0,81.96666666666667,72.66666666666667,70.4,0.5067178502879078,0.4535911602209945,0.4495359628770302,0.43848396501457726,0.3631123919308357,0.3559870550161812,0.3448979591836735,0.34101382488479265,510,597,461,460,10.8,13.766666666666667,12.0,12.2,23.466666666666665,23.1,19.066666666666666,22.633333333333333,16.133333333333333,14.033333333333333,12.233333333333333,17.833333333333332,57,67
1143,2003,1153,1211,33.065,43.2225,0.6071428571428571,0.7419354838709677,67.32142857142857,77.06451612903226,61.5,68.19354838709677,0.4039067422810334,0.4700407213496219,0.4001344989912576,0.4248853211009174,0.3424908424908425,0.3756345177664975,0.3458333333333333,0.3719806763285024,416,551,366,401,12.142857142857142,11.935483870967742,11.107142857142858,10.096774193548388,23.392857142857142,25.322580645161292,24.142857142857142,21.0,10.607142857142858,14.548387096774194,13.928571428571429,14.870967741935484,69,74
1144,2003,1228,1443,15.341860465116278,77.2275,0.8,0.7419354838709677,75.43333333333334,73.09677419354838,61.4,66.41935483870968,0.48566308243727596,0.4598961338718984,0.376078914919852,0.4340057636887608,0.3685950413223141,0.3665644171779141,0.29842931937172773,0.2966804979253112,414,433,451,410,9.733333333333333,12.161290322580646,11.133333333333333,11.35483870967742,25.4,23.258064516129032,21.2,21.612903225806452,13.166666666666666,15.161290322580646,14.833333333333334,15.741935483870968,65,60
1145,2003,1242,1429,16.293023255813953,87.1425,0.7666666666666667,0.7333333333333333,81.33333333333333,65.96666666666667,66.36666666666666,60.1,0.48528624933119313,0.4563543003851091,0.4063876651982379,0.4330708661417323,0.33962264150943394,0.3324175824175824,0.3618181818181818,0.34189723320158105,482,436,316,310,14.3,12.633333333333333,11.533333333333333,9.133333333333333,26.9,22.366666666666667,22.5,19.033333333333335,14.9,12.233333333333333,17.3,12.366666666666667,64,61
1146,2003,1266,1221,18.967441860465115,73.84,0.8214285714285714,0.8620689655172413,78.39285714285714,69.34482758620689,67.67857142857143,58.206896551724135,0.4838095238095238,0.4591236102027469,0.40596469872185026,0.4078857919782461,0.3793911007025761,0.3598130841121495,0.32752613240418116,0.32671081677704195,509,453,373,340,13.107142857142858,12.068965517241379,12.678571428571429,8.758620689655173,24.071428571428573,24.310344827586206,18.571428571428573,19.586206896551722,13.571428571428571,13.931034482758621,12.5,15.413793103448276,72,68
1147,2003,1356,1281,53.3275,23.327830188679247,0.8,0.6774193548387096,74.53333333333333,71.7741935483871,68.1,66.48387096774194,0.472926267281106,0.4419618528610354,0.4448574969021066,0.4025834230355221,0.38526315789473686,0.3569230769230769,0.40700218818380746,0.3191489361702128,411,371,421,385,10.833333333333334,13.483870967741936,11.233333333333333,13.161290322580646,22.466666666666665,25.903225806451612,22.933333333333334,23.258064516129032,12.5,13.612903225806452,15.9,13.193548387096774,71,72
1148,2003,1323,1454,10.497674418604651,74.2075,0.7096774193548387,0.7666666666666667,80.09677419354838,77.1,71.19354838709677,69.93333333333334,0.44869750132908026,0.47310584152689417,0.41334661354581675,0.43818849449204406,0.38074074074074077,0.3562691131498471,0.36622390891840606,0.3568627450980392,538,444,354,484,11.387096774193548,11.533333333333333,13.67741935483871,11.3,26.870967741935484,23.0,24.806451612903224,22.9,12.774193548387096,14.866666666666667,13.064516129032258,17.266666666666666,70,69
1149,2003,1354,1328,234.65,15.730232558139535,0.6666666666666666,0.8,72.8,71.16666666666667,71.26666666666667,60.166666666666664,0.45616186388718577,0.44693396226415094,0.4142692750287687,0.4047470331043098,0.33405172413793105,0.3936731107205624,0.3380503144654088,0.32678132678132676,541,395,483,376,12.966666666666667,12.133333333333333,14.233333333333333,10.4,24.266666666666666,24.966666666666665,21.2,22.4,19.466666666666665,11.8,17.4,13.7,54,71
1150,2003,1360,1390,119.91,28.139088729016787,0.6071428571428571,0.7419354838709677,74.67857142857143,72.25806451612904,71.57142857142857,66.96774193548387,0.47098065376917947,0.44191217342968314,0.43297746144721233,0.40769659788064694,0.38415841584158417,0.3577371048252912,0.3560606060606061,0.303236797274276,485,435,356,436,11.535714285714286,13.741935483870968,11.285714285714286,11.387096774193548,26.357142857142858,25.129032258064516,21.892857142857142,21.580645161290324,18.178571428571427,14.32258064516129,15.178571428571429,13.064516129032258,69,77
1151,2003,1409,1173,63.50985221674877,36.32843137254902,0.7096774193548387,0.8275862068965517,73.51612903225806,72.79310344827586,65.25806451612904,66.3103448275862,0.4626696832579186,0.45165394402035625,0.3968079251513484,0.42230347349177333,0.3626760563380282,0.3603305785123967,0.30905861456483125,0.3651804670912951,437,473,407,365,11.161290322580646,13.482758620689655,12.774193548387096,12.172413793103448,25.806451612903224,23.17241379310345,22.70967741935484,19.275862068965516,14.32258064516129,13.310344827586206,14.419354838709678,11.862068965517242,84,71
1152,2003,1458,1451,23.972906403940886,84.4275,0.7586206896551724,0.8620689655172413,70.72413793103448,74.20689655172414,58.689655172413794,67.17241379310344,0.46449136276391556,0.4657534246575342,0.4304812834224599,0.4572704081632653,0.35912698412698413,0.3352272727272727,0.3394919168591224,0.34516765285996054,418,547,267,339,10.310344827586206,10.344827586206897,8.206896551724139,10.10344827586207,22.551724137931036,22.75862068965517,21.689655172413794,21.724137931034484,10.517241379310345,12.448275862068966,13.96551724137931,15.586206896551724,81,74
1153,2003,1386,1120,20.350746268656717,39.70074812967581,0.7931034482758621,0.6333333333333333,70.62068965517241,70.1,59.275862068965516,65.56666666666666,0.44550063371356147,0.46983546617915906,0.3691529709228824,0.42024720423778694,0.3675078864353312,0.3448979591836735,0.32987551867219916,0.3333333333333333,409,392,392,332,11.172413793103448,11.933333333333334,13.482758620689655,12.233333333333333,24.137931034482758,22.566666666666666,21.93103448275862,20.6,12.931034482758621,15.9,15.241379310344827,15.8,63,65
